database,api,permit,longitude,latitude,surface_interval_id,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name,surface_id,bottom_id,,,
SMU-Google BHT Heat Flow,,,-88.2827,31.877,AL-BHT-000021-a,832.9,47.8,-2.9,44.9,20,29.9,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.05,61,BHT-C,,Harrison,1,61,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.2772,31.2402,AL-BHT-000022-a,1895.4,61.1,9.7,70.8,20.3,26.6,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2,53,BHT-C,,Harrison,1,53,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.268,31.8711,AL-BHT-000023-a,1016.2,51.1,-0.4,50.7,20,30.2,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.05,62,BHT-C,,Harrison,1,62,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.2476,31.4053,AL-BHT-000024-a,2142.1,67.8,11.9,79.7,20.3,27.7,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.01,56,BHT-C,,Harrison,1,56,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.2408,31.1083,AL-BHT-000025-a,2290.2,68.3,13,81.3,20.4,26.6,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,1.99,53,BHT-C,,Harrison,1,53,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.2338,31.6807,AL-BHT-000026-a,1667.7,55.6,7.4,63,20.1,25.7,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.04,52,BHT-C,,Harrison,1,52,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.225,31.4044,AL-BHT-000027-a,3358.5,97.2,18.4,115.6,20.3,28.4,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.01,57,BHT-C,,Harrison,1,57,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.2231,31.8741,AL-BHT-000028-a,1226.8,51.1,2.4,53.5,20,27.3,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.05,56,BHT-C,,Harrison,1,56,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.2109,32.8212,AL-BHT-000029-a,1545.4,47.8,6.1,53.9,19.6,22.2,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.1,47,BHT-C,,Harrison,1,47,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.2081,31.0832,AL-BHT-000030-a,3495.7,96.1,18.7,114.8,20.4,27,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,1.99,54,BHT-C,,Harrison,1,54,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
