,longitude,latitude,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name
31,-95.0627,32.5627,3809.1,124.4,19.1,143.5,21.04,32.6,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.11,69.0,BHT-C,,Harrison,2.0,62.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
32,-94.5413,33.0227,3924.7,124.4,19.1,143.5,20.18,31.7,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.15,68.0,BHT-C,,Harrison,2.0,65.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
33,-95.0452,32.5272,3813.7,124.4,19.1,143.5,21.08,32.5,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.11,69.0,BHT-C,,Harrison,2.0,62.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
34,-94.81108,32.57005,3319.0,142.78,,143.0,20.95,36.77,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,88.24,BHT-C,,Harrison,1.0,88.24,,,,,,,,,,,,,,,,Gregg County
35,-94.82735,32.5682,3272.0,142.78,,143.0,20.96,37.3,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,89.68,BHT-C,,Harrison,1.0,89.68,,,,,,,,,,,,,,,,Gregg County
36,-94.73786,32.5704,3293.0,143.33,,143.0,20.91,37.08,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,88.68,BHT-C,,Harrison,1.0,88.68,,,,,,,,,,,,,,,,Gregg County
37,-94.81896,32.57126,3321.0,142.78,,143.0,20.95,36.75,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,88.22,BHT-C,,Harrison,1.0,88.22,,,,,,,,,,,,,,,,Gregg County
38,-94.78006,32.51734,3315.0,142.78,,143.0,21.0,36.8,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,88.2,BHT-C,,Harrison,1.0,88.2,,,,,,,,,,,,,,,,Gregg County
39,-94.86287,32.51518,3318.0,142.78,,143.0,21.04,36.76,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,88.38,BHT-C,,Harrison,1.0,88.38,,,,,,,,,,,,,,,,Gregg County
40,-94.81753,32.57938,3325.0,142.78,,143.0,20.94,36.71,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,88.1,BHT-C,,Harrison,1.0,88.1,,,,,,,,,,,,,,,,Gregg County
41,-94.82687,32.56448,3271.0,142.78,,143.0,20.96,37.31,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,89.71,BHT-C,,Harrison,1.0,89.71,,,,,,,,,,,,,,,,Gregg County
42,-94.82634,32.55017,3894.71,123.33,,142.4,20.98,31.18,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,75.5,BHT-C,,Harrison,1.0,75.5,,,,,,,,,,,,,,,104.24,Gregg County
43,-94.78294,32.57065,3404.88,123.89,,142.39,20.93,35.67,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.34,85.31,BHT-C,,Harrison,1.0,85.31,,,,,,,,,,,,,,,123.75,Gregg County
44,-94.54977,32.50963,3348.21,123.89,,142.26,20.84,36.26,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,86.77,BHT-C,,Harrison,1.0,86.77,,,,,,,,,,,,,,,,Harrison County
45,-94.54929,32.51376,3341.6,123.89,,142.24,20.83,36.33,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,86.91,BHT-C,,Harrison,1.0,86.91,,,,,,,,,,,,,,,,Harrison County
46,-93.2553,33.0401,3617.7,123.3,18.9,142.2,19.23,34.1,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AR,Estimate: Blackwell Gulf Coast K Model,,,2.13,73.0,BHT-C,,Harrison,1.0,73.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
47,-94.79174,32.51933,3257.0,142.22,,142.0,21.0,37.15,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,89.23,BHT-C,,Harrison,1.0,89.23,,,,,,,,,,,,,,,,Gregg County
48,-94.80567,32.56415,3321.0,141.67,,142.0,20.95,36.45,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,87.45,BHT-C,,Harrison,1.0,87.45,,,,,,,,,,,,,,,,Gregg County
49,-94.79762,32.58465,3256.0,142.22,,142.0,20.92,37.19,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,89.32,BHT-C,,Harrison,1.0,89.32,,,,,,,,,,,,,,,,Gregg County
