longitude,latitude,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name
-94.7266,30.8416,4139.3,174.4,19.1,193.5,22.2,41.4,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.98,82.0,BHT-C,,Harrison,1.0,82.0,,,,,,,,Pan American A-1 Southland Paper Mill ,Oil or Gas Well,Unknown,,,,,,Polk
-93.4002,32.7832,3274.7,136.1,18.2,154.3,19.49,41.2,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",LA,Estimate: Blackwell Gulf Coast K Model,,,2.1,87.0,BHT-C,,Harrison,2.0,84.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-93.9638,31.7591,1115.2,66.1,0.9,67.0,21.1,41.2,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.0,82.0,BHT-C,,Harrison,1.0,82.0,,,,,6.0,,,"Rosetta Energy Partners, LP",Gas Well,Unknown,Huxley,,KB,309.0,94.21,Shelby
-94.64604,32.35667,3945.7,164.44,,183.51,21.11,41.16,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.38,99.93,BHT-C,,Harrison,1.0,99.93,,,,,,,,,,,,,,,109.73,Rusk County
-94.81602,32.40481,2309.0,115.56,,116.0,21.16,41.07,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.3,95.56,BHT-D,,Harrison,1.0,95.56,,,,,,,,,,,,,,,,Gregg County
-93.7058,33.4578,2227.1,97.8,12.5,110.3,19.05,41.0,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AR,Estimate: Blackwell Gulf Coast K Model,,,2.18,89.0,BHT-C,,Harrison,1.0,89.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-93.7168,33.4501,2226.5,97.8,12.5,110.3,19.07,41.0,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AR,Estimate: Blackwell Gulf Coast K Model,,,2.18,89.0,BHT-C,,Harrison,2.0,83.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-93.9445,33.4287,982.6,60.0,-0.8,59.2,19.23,40.9,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AR,Estimate: Blackwell Gulf Coast K Model,,,2.18,89.0,BHT-C,,Harrison,1.0,89.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-94.78846,32.42982,2454.18,107.22,,121.42,21.12,40.87,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.3,95.35,BHT-C,,Harrison,1.0,95.35,,,,,,,,,,,,,,,,Gregg County
-94.3185,32.0238,2893.6,122.8,16.7,139.5,21.3,40.8,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.03,83.0,BHT-C,,Harrison,1.0,83.0,,,,,,,,ConocoPhillips,Gas Well,Unknown,Carthage,,KB,273.0,83.23,Panola
-94.61178,32.3553,3112.0,148.33,,148.0,21.08,40.78,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,97.69,BHT-C,,Harrison,1.0,97.69,,,,,,,,,,,,,,,,Rusk County
-93.1672,32.8002,3647.9,148.9,18.9,167.8,19.35,40.7,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",LA,Estimate: Blackwell Gulf Coast K Model,,,2.09,85.0,BHT-C,,Harrison,3.0,79.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
