longitude,latitude,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name
-94.82652,32.52506,3288.0,146.11,,146.0,21.02,38.01,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,91.33,BHT-C,,Harrison,1.0,91.33,,,,,,,,,,,,,,,,Gregg County
-94.68464,32.33261,3281.0,146.11,,146.0,21.16,38.05,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,91.14,BHT-C,,Harrison,1.0,91.14,,,,,,,,,,,,,,,,Rusk County
-94.69694,32.3297,3189.0,145.56,,146.0,21.17,39.14,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,94.06,BHT-C,,Harrison,1.0,94.06,,,,,,,,,,,,,,,,Rusk County
-94.75331,32.44757,3534.57,127.22,,145.99,21.07,35.34,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.34,84.56,BHT-C,,Harrison,1.0,84.56,,,,,,,,,,,,,,,,Gregg County
-94.73695,32.32188,3449.58,127.22,,145.82,21.21,36.12,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,86.46,BHT-C,,Harrison,1.0,86.46,,,,,,,,,,,,,,,,Rusk County
-94.9215,30.8529,3834.1,126.7,19.1,145.8,22.4,32.2,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.98,64.0,BHT-C,,Harrison,2.0,58.0,,,,,8.25,,,Devon Energy,Oil or Gas Well,Unknown,"Leggett, W. ",Woodbine,KB,302.9,92.35,Polk
-94.7991,33.0461,3900.0,126.7,19.1,145.8,20.36,32.5,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.16,70.0,BHT-C,,Harrison,2.0,68.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-93.4002,31.3902,3922.6,126.7,19.1,145.8,20.55,31.8,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",LA,Estimate: Blackwell Gulf Coast K Model,,,1.96,62.0,BHT-C,,Harrison,3.0,63.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-95.119,32.1365,3749.1,126.7,19.0,145.7,21.6,33.1,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.05,68.0,BHT-C,,Harrison,1.0,68.0,,,,,9.0,,,"C W Resources, Inc.",Gas Well,Unknown,Overton,,KB,467.0,142.38,Cherokee
-95.1492,32.1587,3749.7,126.7,19.0,145.7,21.5,33.1,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.05,68.0,BHT-C,,Harrison,1.0,68.0,,,,,5.0,,,"Map Production, Inc.",Gas Well,Unknown,Overton  ,Cotton Valley,KB,428.0,130.49,Smith
-94.4473,30.502,3781.1,126.7,19.0,145.7,22.3,32.6,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.96,64.0,BHT-C,,Harrison,2.0,62.0,,,,,10.0,,,Sanchez Oil & Gas Corp,Gas Well,Unknown,Wildcat,,KB,113.2,34.51,Hardin
-94.78442,32.40246,3394.49,127.22,,145.7,21.15,36.69,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,87.92,BHT-C,,Harrison,1.0,87.92,,,,,,,,,,,,,,,,Gregg County
-95.0954,32.147,3640.9,126.7,18.9,145.6,21.5,34.1,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.05,70.0,BHT-C,,Harrison,1.0,70.0,,,,,10.0,,,"Encore Operating, LP",Gas Well,Unknown,Overton ,,KB,496.5,151.37,Smith
-95.0905,32.1467,3653.0,126.7,18.9,145.6,21.5,34.0,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.05,70.0,BHT-C,,Harrison,1.0,70.0,,,,,9.0,,,"Encore Operating, LP",Gas Well,Unknown,Overton,,KB,544.0,165.85,Smith
-95.1525,32.2038,3632.3,126.7,18.9,145.6,21.5,34.2,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.06,70.0,BHT-C,,Harrison,1.0,70.0,,,,,6.5,,,"C W Resources, Inc.",Gas Well,Unknown,Gas,,KB,366.0,111.59,Smith
-95.1284,32.1826,3670.1,126.7,18.9,145.6,21.5,33.8,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.06,70.0,BHT-C,,Harrison,1.0,70.0,,,,,6.0,,,Southwestern Energy,Gas Well,Unknown,Overton  ,Cotton Valley,KB,444.0,135.37,Smith
